deja_fckn_vu	ck	90
★ⓕⓤⓒⓚⓘⓝⓕⓞⓛⓛⓞⓦⓝⓞⓦ★	2)i	0
trueshit	#trueshit	100
??"	2)i	0
shittery	shitter	93
aqours	//u	90
interest's	#interest	95
e14-525	5¢	90
eastside's	#eastside	95
😐	2)i	0
’re	-re	100
gtmo	gt	90
snorkle	o*	90
**awwyyy	/a	90
lufas	//u	90
wtfr	f@#$	90
🙄	2)i	0
gaes	/a	90
((((((((((((((((((((((((((((((((	2)i	0
prominant	nt	90
tiffachat	#if	90
..:	2)i	0
got7	go/	90
ommggggg	omggggg	93
farmall	ll	90
months(we	//we	90
him|	him/	100
decapation	decapitation	91
n'	@'n	100
feyder	feder	91
connan	conan	91
concurrence	concurrency	91
📹	2)i	0
www.toolsusa.com	-too	90
softt	f@#$	90
uploaded/uploading	d'u	90
j.	já	100
scopa	cop	90
g-eazy	/a	90
express/isqft	qft	90
ju5t	//u	90
subete	//u	90
winddd	widdd	91
apr-6-2016	($20	90
🙊😍	2)i	0
tanaya	tanya	91
spammy’s	spammy	95
vulgarness	ul	90
semi-fully	ul	90
fans)	#fans	100
stanganelli	ll	90
?:	2)i	0
💊	2)i	0
kalamazoo)	#kalamazoo	100
amelllll	ll	90
mishawaka)	mishawaka	100
chronicle/jeffrey	eff	90
grungereport	run	90
uhggg	//u	90
spreyn0	r	90
d3130	@'d	90
coordinatard	/or	90
bipashasharma29	-has	90
🔬	2)i	0
donny's	donny	95
🙈💕	2)i	0
bobbito	bobbit	92
ricochet's	ricochet	95
gothtober	go/	90
z10	@1	90
🌚	2)i	0
zvezda	@'d	90
fool'n?!	fooln	91
nus's	//u	90
illness-induced	ll	90
n'en	n.n	95
>	2)i	0
shariatmadari	mad	90
under-water	underwater	95
evaporator	eva	90
("`▽´)-σ	σ	100
trippppin	tripppin	94
rt&f	f/f	95
letsprayfor	-lets	90
ethiad	\i	90
tuesday…	tuesday-	100
anology	#manology	93
meat.org	//me	90
lazyasfuck	ck	90
sumali	\i	90
erzascrlt	as	90
yogendra	@'d	90
===}}	2)i	0
strobelights	be-	90
tuesss	//u	90
😂🐶	2)i	0
mjanemann	/em	90
stutterheim	$he	90
grey/gum	//u	90
🏃🏽💨⚡️	2)i	0
classen	classmen	93
woodseaves	$ave	90
🙃	2)i	0
£4.5	4:5	100
bunzzzz	buzzzz	92
jhermz	$he	90
nippert	@nipper	92
😻	2)i	0
dird	\i	90
bitcoins	#bitcoin	93
🏁	2)i	0
novoselic	#vo	90
taeyeons	taeyeon's	94
shortish	\i	90
heelllooo	helllooo	94
weather-shortened	néed	90
vapnyer	r	90
gangway	/a	90
nefin	\i	90
you…now	younow	92
top-25	top-5	91
smfh|	#smfh	100
muhfckers	ck	90
www.slop.in/qrvd	(in	90
scootandboo®	scoot	90
socacize	\i	90
seguins	seguin	92
mypooh	o*	90
laaaaaaaaast	laaaaaa	90
“all	all/	100
“success	/success	100
t______________________________________________t	__________________	90
ballthe	allthe	92
🎬🎥	2)i	0
"...	2)i	0
i`am	i'am	100
teamlakers	#teamlakers	100
mutuals	mutual	92
👎🏽💔😓	2)i	0
podenco	@'d	90
's	ìs	100
mudroom	//u	90
highhhhhh	highhhhh	94
noticedd	noticed	93
wefeedback	//we	90
ayayayyaa	yy	90
operanightclub	lub	90
showoffradio	-show	90
-zone	#zone	100
!digits	digits	100
lilzhp	\i	90
👀👀👀	2)i	0
ntrl	nt	90
😮😄😃😎	2)i	0
💪🏼	2)i	0
events@michaelkors.com	-even	90
💖	2)i	0
july4	//u	90
🌟	2)i	0
tweetaway	//we	90
🌈	2)i	0
hawwwwwwwks	#ks	90
’m	&m	100
blacks'	blacks	100
hibernates	hibernate	95
vzn	@'n	90
ดู	2)i	0
girls’	#girls	100
'd	@'d	100
(¬_¬	[_]	100
times.	#times	100
intlship	\i	90
⌣́_⌣̀)	[_]	100
posados	do	90
	2)i	0
breaththis	eat-	90
gerbe	gerber	91
pokeballess	ll	90
everythxng	everythng	95
khadr's	khadr	95
beezid™	\i	90
✨🍃	2)i	0
carvan	caravan	92
vulecic	\i	90
prefection	ion	90
❤️😊	2)i	0
ex’s	ex's	100
craping	crapping	93
letter-writing	-it	90
korybaker262626…	bake	90
😀	2)i	0
🙂☝🏽️	2)i	0
😴	2)i	0
anti-city	-it	90
baul	//u	90
suuuuuuucks	ck	90
($169	$169	100
💕	2)i	0
justinlover1144	//just	90
anacs	/a	90
tea-rrific	ifi	90
😭😍🚘	2)i	0
post/boston	-post	90
sa_i	\i	90
chrisdmuchris	#dm	90
athondalaunching	unch	90
reatreat	#retreat	93
jodeci's	jodeci	95
bighit	bight	91
jbspins.blogspot.com/2010/10/fandom-love-saturday-nightmares.html	#nightmares	90
birdsss	\i	90
m	&m	100
showrunners	showrunner	95
‘	2)i	0
brolik	\i	90
betbright	be-	90
course.	course-	100
xpeeps	peeps-	91
phoooonneeeeeeeeee	oooon	90
hyunkid	\i	90
🍹	2)i	0
myyyyyyyyyy	yyyyy	90
yoongi	yoong	91
ghdjfsshdfjg	shd	90
×5129	5¢	90
power2stop	//we	90
😂💞	2)i	0
?????????????????????????????????????????????????????	2)i	0
chuxing	\i	90
rexha	r	90
lw2003	w@	90
u8/10/12/14/16/19	6'1	90
lettters	letters	93
db5	@'d	90
crvena	//en	90
've	ve	100
it'5	5'5	95
general)	#general	100
name-drop	namedrop	94
*))	2)i	0
sp…	#sp	100
jream	r	90
halloweennight	//we	90
me6	//me	90
n’t	n't	100
paris.flv	/is	90
+_o	_o/	100
hickcok45	ck	90
romeoplay5h	lay	90
sleepest	sleepiest	94
tonkkss	o*	90
hinduindonesians	do	90
marijan	marian	92
stileto	stilleto	93
hashy	-has	90
globalpublishing	lob	90
all-dorito	-it	90
sunshining	(in	90
azle	/a	90
’s	ìs	100
varsha	r	90
@link	#link	100
ghosbusters	#ghostbusters	96
suriya	surya	91
anida	\i	90
??!!?!?!?!?	2)i	0
bestmate	be-	90
╮	2)i	0
v180	8)	90
no.	não	100
dec18th	@'d	90
icemoon	\i	90
/brown	brown/	100
pro-gun	//u	90
wn't	-t-t-	95
ranther	rather	92
puncutatoin	cut-	90
yahoo!	#yahoo	100
justsayin	justsayin	100
sorrryyz	sorrryy	93
kristien	kristie	93
🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷	2)i	0
yoweri	\i	90
foue	//u	90
weird-ed	weirded	93
unquestioning	questioning	92
eteringity	-it	90
petc	/p	90
missiuri	\i	90
f40	f@#$	90
wondering…is	wondering	95
oneplus	//u	90
the…	the-	100
imgood	#imgood	100
re-share	r	90
chapmen	//en	90
curbstomping	curb	90
nerp	r	90
mountainridge	nt	90
chookie	#cookie	92
mommyy's	mommyy	95
🐗	2)i	0
usgn	//u	90
»then	-then	100
sex_	[_]	90
rapada	@'d	90
artrage	rt)	90
yeah...	-yeah	100
're	-re	100
chike	chicke	91
didactic	\i	90
single”off	sing	90
amazine	amazin	92
pro-eu	//u	90
simplestepsautism	step	90
buddhe	//u	90
yhuuuu	yuhuuuu	92
strivectin	i´ve	90
“trading	#trading	100
shaver/truffle	have-	90
karambit	\i	90
ingabire	\i	90
team-mate's	team-mates	95
brexit	\i	90
ycaza	/a	90
t102610	@1	90
bohiti	\i	90
fill-ups	fill-up	93
muh`fuggah	fug	90
}	2)i	0
guilt)	guilt	100
collegiategrief	ll	90
bold™	#bold	100
i'mmm	i-i-i	95
nofa	f@#$	90
all#	all/	100
😂😚	2)i	0
cahh	/a	90
garcia’s	garcia's	100
cavsin6	\i	90
tutorings	tutoring	94
schump	chump	91
eran's	era's	91
jurispru	\i	90
》	2)i	0
ans	ans	100
g310	@1	90
c6e2y23e	6e	90
istanb	\i	90
morniinqqqq	-ii	90
unfffffffff	#un	90
hotels.com	<URL-hotels.com>	95
nekkoala	o*	90
contendants	nt	90
friend/refer	//en	90
geniusness	//en	90
day’	#day	100
arabian's	arabian	95
captan	capitan	92
port2port	rt)	90
v____v	[_]	90
hjahah	hahah	91
metrotube	be-	90
alberhasky	ask-	90
~ruhypnol	//u	90
croplife's	life's	90
szu	//u	90
vengoo	vengo	91
homiessssssssss	#ie	90
neurogadget	get-	90
papercrafting	(in	90
.:	2)i	0
warm't	t---t	95
prof.	prof	100
pkollar	@pkollar	100
inabot	\i	90
misunderstood-revolutionary	understood	90
melancon	//me	90
bwaahaha	bwahaha	93
ruhlman	@ruhlman	100
procastinate	procrastinate	96
peshmerga	//me	90
."	2)i	0
kt)	kt	100
empowher.com	$he	90
╚✰ѕнoυтoυт'ѕ™✰╝>>>>	o)(o	86
rusesabagina	ru	90
tianhe	\i	90
kurti_podenco	//en	90
barbuzzo	//u	90
drain,then	$he	90
physed	@'ed	90
landspeed	eed	90
r.	r	100
🐙	2)i	0
d985	@'d	90
`enormous	enormous	100
subhan	//u	90
flush'	flush	100
.5	5¢	100
ft.	#ft	100
fullllllll	ul	90
postes	#posters	92
like_________	like-	90
🏼	2)i	0
'.	2)i	0
spooky-wierd	spook	90
("╯_╰)	[_]	100
spanglish/techno/pop	pop	90
christovale	/is	90
?'	2)i	0
-1m	£1m	100
huntyyyy	//u	90
ಠ◡ಠ	ಠ_ಠ	67
steenhuisen	//en	90
catholics’	catholics	100
self(that's	that*	90
princessdollxxx	ll	90
//free	#free	100
t-e-n-n-a-n-t	t........t	95
billionaires/ceos	billionaires	95
😘❤️	2)i	0
чöü	2)i	0
(proverbs	#proverbs	100
╚►★ŧøłłøw&ǥλïŋ✔☆]╚►	w@	90
semmes	//me	90
‘right	-right	100
hagh_hagh	#ag	90
😩😍	2)i	0
iggys	piggys	91
😩🔫	2)i	0
yakiiin	\i	90
fastory	f@#$	90
:"	2)i	0
gatekeeper-free	ate	90
me”	//me	100
olapad2013@gmail.com	#mail	90
eatpraylovecollab	/love	90
nytimes.com	<URL-nytimes.com>	95
thanksthanks	//thank	90
awesome/inappropriate	ate	90
vf20	f@#$	90
bombies	\i	90
🙋🏻🙋🏻🙋🏻	2)i	0
bruins-lightning	ru	90
thosefourrightchords	rright	90
pre-colord	/or	90
diyachenko	$he	90
sds]	$sds	100
pansit-esque	-it	90
wide”	wide	100
obts	o*	90
duckland	//u	90
whitetonight	-it	90
success/fail	/success	90
chah	/a	90
jeronimo	\i	90
ky-sen	//en	90
tapatia	\i	90
ex-dividend	dividend	95
|california|	#california	100
stheriouthly	$he	90
wpials	\i	90
finisehed	finished	94
tanyas	tanya's	92
unrealiable	unreliable	95
whaoo	o*	90
alfhak	f@#$	90
🙌🏽🙌🏽	2)i	0
t…	t/	100
ekpe	/p	90
mfw	#mfw	100
meltiiinngggg	-ii	90
flip-flopped	@'ed	90
fa-4110	f@#$	90
20:3	20-3	100
‎​اللّهُ‎​	2)i	30
blazecoins	laze	90
xnevershoutbrianna	-never	90
''	2)i	0
unwalkable	walk-	90
oracle/hp	/or	90
bello's	bello	95
shockproof	ck	90
re-appear	reappear	94
temp-new	p/n	90
eventbrite's	@eventbrite	95
👾🎷🎨	2)i	0
"push	push	100
.'	2)i	0
cange	change-	91
piukin	pukin	91
stay-c	-stay	90
edcapitola	-it	90
t-17	17:17	95
plzzzzzzzzz	plzzzzzzzzzz	96
headcanon	$he	90
'm	&m	100
nfu	//u	90
fleekest	eke	90
awwwwwwwwwwwwwwwwwwwww	awwwwwwwwwwwwwwwwwww	95
sure-money	u´re	90
ntu's	//u	90
coultrain	ain	90
riddikulus	ul	90
:c	c)	100
hmiel	\i	90
healdsburg)	healdsburg	100
[/35	+35	100
searous	serous	92
lmmffo	f@#$	90
🤔	2)i	0
intension	intensions	95
'all	all/	100
zuksg	//u	90
auditor-hotel	-it	90
‘die	die-	100
lentech	nt	90
fergusons	ferguson's	95
fashionista.com	#fashionista	95
denny's!!!!!!	denny’s	100
ss's	s.s	95
biocon	\i	90
(((	2)i	0
wannadies	wann	90
borac	o*	90
singer/model	sing	90
www.clientsfromhell.net	lie-	90
‘fonzie’	fonzie	100
bangtimeeeeeeeeeeeeeeeeeeee	bang	90
👀👀	2)i	0
raylene	//en	90
!"	2)i	0
-n-rave	rave	90
yixingspixie	(in	90
j'espère	r	90
keeeeshaa	shaa	90
maagic	#magic	91
“megamind”	#megamind	100
beezid	\i	90
wildboyclothing	ild	90
guarnaschelli	$he	90
mofuhka	//u	90
sadting	\i	90
maitago	\i	90
hiiiiya	\i	90
blacks%27	lacks	90
iigt	\i	90
mo-tivation	#motivation	95
gunsmithcat	-it	90
halort	rt)	90
stattrak	r	90
onrpe	o*	90
breakables	breakable	95
rape-the	$he	90
*****	2)i	0
p̶o̶c̶a̶h̶o̶n̶t̶a̶s̶	n't	90
?"	2)i	0
cook/chef	$he	90
⏩	2)i	0
eternal-sunshining	#ing	90
nymgo	go/	90
shaheen's	shaheen	95
twitpic.com/6s0h5f	#twitpic	90
😕	2)i	0
it.	-it	100
right-free	-right	90
simplestepsautism.com	step	90
llabd	ll	90
xkr	r	90
🍊🐰😇🐝	2)i	0
griners	grinders	93
adultry	adultery	93
screamsingg	-screams	90
datacontext	nt	90
mouthherpes	$he	90
yawaa	/a	90
php.4.13	/p	90
'll	ll	100
cigarette%3f	cigarette	95
?????"	2)i	0
agit	\i	90
petesakes	#ak	90
of_____________	_____________	93
baronet	barnet	92
💯	2)i	0
🎉😍	2)i	0
radio@webuildhits.com	ebu	90
cookoo	coooo	91
verwoerd	@'d	90
duopoly	//u	90
fiction&nonfiction	ion	90
craaaaaaaaaaaaap	#ra	90
gyne-lotriminor	trim	90
dugh	//u	90
-checks	checks	100
trillphill	ll	90
fifty-one	#if	90
n…	@'n	100
lyod	@'d	90
show/podcast	-show	90
whensending	$he	90
mufuggah	mufugga	93
!!:	2)i	0
bvs	obvsly	90
$50ish	50ish	100
pressd	pressed	92
’	2)i	0
😹	2)i	0
much-__-	//u	90
}}	2)i	0
damnmartin58	rt)	90
...:	2)i	0
ohmygoodlord	go/	90
ricciardo	riccardo	94
✊🏽	2)i	0
slam-dunk	slamdunk	94
semi-privatized	iv	90
shapton	sharpton	93
'mmm	mmm	100
🙄🙄🙄🙄	2)i	0
'	2)i	0
😎	2)i	0
minyoonjgi	(in	90
".	2)i	0
haspel	-has	90
",	2)i	0
hyperreal	hyper	90
niggggggaaaaaa	igg	90
man-sion	#mansion	93
warm/dry	@'d	90
	2)i	0
rham	<URL-arthurham.com>	90
​(ˇ_ˇ'!l	l)(l)(l	95
smfdreads	dread	90
you♥	(you	100
muhfuckaz	muhfucka	94
festival…	#festival	100
kumamon	//u	90
c-suiters	-it	90
standed	stranded	93
maod	@'d	90
u$her	//u	90
venesha	//en	90
whfft	f@#$	90
todoay	today)	91
😂😂😭😭😭💀💀💀	2)i	0
amazing-at	#amazing	95
!!!!!!!..	2)i	0
“dream	#dream	100
feat.	feat	100
telegraphy	telegraph	95
teamel_al	//me	90
soberano	be-	90
grubhub	//u	90
snapchat	pc-	90
peebagger	bagg	90
($149	#149	100
alyssaaaa	#al	90
legitmileyc	-it	90
🔑	2)i	0
kalayna	alayna	92
bond’s	bond's	100
whatsapp+	#whatsapp	100
❤️🦄💚	2)i	0
kenya7s	//en	90
pacin'	peacin	91
cash-for-sex	/or	90
!year	/year	100
arteonline4u	onli	90
smashfund	mash	90
mge	#imgettingtiredof	90
potomac's	potomac	95
🍿	2)i	0
muackszx	//u	90
cravinggggg	(in	90
sweepstakesss	#sweepstakes	92
bootyyy	bootyy	92
guau	//u	90
😆	2)i	0
billiot	billio	92
🔥💯✊🏾	2)i	0
jeeran	jeer	90
-biggity	biggity	100
unffffffff	#un	90
>->o	o*	100
mø	&m	100
–uncle	uncle	100
witwial	\i	90
drafte	drafted	92
serophene	$he	90
love…	/love	100
daquq	//u	90
i-n-d-e-p-e-n-d-e-n-t	n't	90
cmichele1231	$he	90
konfessions	#confessions	91
	2)i	0
🍺😉	2)i	0
south—the	$he	90
shooked	hooked	92
mosy	o*	90
toronto)	►toronto	100
sloane's	sloane	95
》have	have-	100
textinnggg	textinggg	95
*]	2)i	0
pacin	peacin	91
fitwood	\i	90
wessss	wesss	91
sostar	o*	90
swangas	wan	90
fiko	\i	90
-æ	2)i	0
“people	#people	100
!'	2)i	0
reallyyyyyyyyyyyyyyyyyyyyyyy	-really-	90
tyeln	l)	90
studmuffin	ud	90
kollar	@pkollar	92
owari	\i	90
sear's	spear's	92
korybaker262626	bake	90
jurupa	//u	90
hurreyyyyyyyyyyyyyy	yyyyy	90
breshears	$he	90
appiontment	appointment	91
adamson's	adamson	95
gradpics	\i	90
irreplace	rep	90
-dumb	#dumb	100
aqwmv	/a	90
😍👪	2)i	0
scarriest	scariest	94
🙁	2)i	0
iuqties	\i	90
&retires	retires	100
soofanybis	/is	90
flyboys	flyboy	92
sufers	suffers	92
camshow	-show	90
silence*	#silence	100
’ll	ll	100
bwtter	btter	91
warmists	\i	90
angelou's	angelou	95
τнänκ	@'n	90
😼	2)i	0
farzi	\i	90
^_____t	t_____t	92
vs.	#vs	100
obviouslllllllly	ll	90
shazams	#shazam	92
modifiability	-it	90
fainlly	\i	90
pbn	/p	90
-ibetyoulookgoodonthedancefloor	youl	90
